"person","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
3481279,"male",23,"Non-Profit","Aquarius",0
3608048,"male",24,"indUnk","Gemini",0
3858003,"male",42,"Technology","Aquarius",0
4130728,"male",24,"Technology","Virgo",0
4002539,"female",15,"Student","Libra",1
3822771,"female",13,"Student","Virgo",1
754701,"male",26,"Advertising","Aries",0
182779,"female",27,"Internet","Sagittarius",1
3793635,"female",23,"indUnk","Aquarius",1
853818,"male",39,"BusinessServices","Leo",0
3430461,"male",16,"Student","Aquarius",0
3477597,"male",27,"Consulting","Leo",0
3940224,"female",15,"indUnk","Pisces",1
2124727,"female",24,"Internet","Virgo",1
4154732,"male",24,"Internet","Capricorn",0
3496847,"female",25,"Technology","Virgo",1
3458177,"female",24,"Banking","Aries",1
3785169,"male",27,"indUnk","Libra",0
3509141,"female",16,"Student","Cancer",1
3892114,"male",16,"Student","Gemini",0
3753823,"female",23,"indUnk","Leo",1
3368556,"male",37,"indUnk","Virgo",0
4052167,"female",35,"Education","Libra",1
3617762,"male",48,"Telecommunications","Sagittarius",0
4073614,"male",33,"Internet","Gemini",0
4022928,"female",47,"indUnk","Pisces",1
4192880,"male",17,"Transportation","Sagittarius",0
3915867,"male",15,"Student","Cancer",0
2200790,"female",23,"Non-Profit","Leo",1
890200,"female",16,"indUnk","Sagittarius",1
3205603,"female",24,"Technology","Taurus",1
2233272,"male",23,"Engineering","Libra",0
4142807,"female",17,"Student","Capricorn",1
4011411,"female",16,"Student","Libra",1
4215239,"female",41,"Consulting","Gemini",1
1648321,"male",14,"Technology","Gemini",0
3882223,"male",16,"Student","Pisces",0
3588668,"male",26,"Engineering","Gemini",0
3677230,"male",14,"Education","Capricorn",0
4200690,"male",25,"Chemicals","Libra",0
3385100,"female",16,"indUnk","Taurus",1
3784830,"female",26,"indUnk","Leo",1
3382741,"male",26,"Student","Virgo",0
2482900,"male",24,"indUnk","Libra",0
3614433,"female",15,"Fashion","Aries",1
1964214,"male",16,"Student","Sagittarius",0
4056676,"male",13,"Student","Virgo",0
3845350,"male",14,"Student","Capricorn",0
4081161,"female",17,"Student","Cancer",1
925742,"male",16,"Student","Gemini",0
2900918,"female",13,"Student","Sagittarius",1
3444841,"female",23,"indUnk","Aquarius",1
3177182,"female",24,"indUnk","Libra",1
3673386,"male",27,"HumanResources","Pisces",0
3378285,"male",23,"indUnk","Libra",0
3490345,"male",17,"Student","Virgo",0
3681020,"male",35,"Manufacturing","Scorpio",0
3830715,"female",24,"HumanResources","Aries",1
4240600,"female",15,"Student","Libra",1
3950780,"female",16,"Student","Libra",1
3381753,"female",17,"Student","Gemini",1
4163888,"male",17,"Sports-Recreation","Taurus",0
3582136,"male",24,"Consulting","Aquarius",0
3789267,"male",17,"indUnk","Cancer",0
3624245,"male",24,"Accounting","Leo",0
3557202,"male",13,"indUnk","Virgo",0
4177478,"male",14,"indUnk","Leo",0
3781083,"male",23,"Internet","Taurus",0
3866851,"female",15,"indUnk","Cancer",1
3224168,"female",15,"Student","Capricorn",1
3706114,"male",24,"Banking","Libra",0
3898900,"male",24,"Non-Profit","Aquarius",0
3530363,"female",23,"Transportation","Aries",1
3603867,"male",23,"Arts","Cancer",0
498684,"male",23,"Student","Capricorn",0
4166439,"female",25,"Publishing","Sagittarius",1
3996220,"female",26,"indUnk","Gemini",1
3921257,"female",34,"indUnk","Capricorn",1
1091067,"male",24,"Technology","Cancer",0
4038837,"male",13,"indUnk","Aquarius",0
4077627,"male",44,"Telecommunications","Scorpio",0
4169136,"male",24,"Tourism","Sagittarius",0
4185039,"female",16,"indUnk","Aquarius",1
3178584,"male",24,"indUnk","Virgo",0
3920536,"female",24,"Law","Leo",1
4065792,"male",17,"Student","Aries",0
4311920,"male",24,"indUnk","Virgo",0
2147592,"female",15,"Student","Aquarius",1
3381720,"male",27,"Marketing","Leo",0
3411150,"female",13,"indUnk","Scorpio",1
3603677,"female",17,"Student","Aries",1
567431,"female",23,"indUnk","Leo",1
3848195,"male",24,"Engineering","Virgo",0
2400509,"male",16,"indUnk","Aquarius",0
946952,"female",25,"Education","Leo",1
2620848,"female",27,"indUnk","Cancer",1
3759312,"male",24,"Arts","Cancer",0
2349612,"female",23,"Education","Cancer",1
3350864,"male",17,"indUnk","Aquarius",0
1076134,"female",25,"Arts","Gemini",1
3699448,"female",16,"indUnk","Taurus",1
4176571,"male",37,"Sports-Recreation","Libra",0
1405024,"female",24,"indUnk","Cancer",1
3290902,"male",33,"Arts","Leo",0
3521548,"female",34,"Publishing","Aquarius",1
4167456,"female",37,"Education","Aries",1
105748,"female",26,"Student","Scorpio",1
4217941,"male",25,"Internet","Sagittarius",0
3887270,"female",17,"Student","Leo",1
3967139,"female",26,"Student","Gemini",1
3550869,"male",25,"BusinessServices","Virgo",0
1163948,"female",24,"indUnk","Capricorn",1
3454014,"male",24,"indUnk","Libra",0
171019,"female",23,"Education","Leo",1
3329038,"female",23,"indUnk","Gemini",1
3958147,"male",16,"Student","Sagittarius",0
3866890,"male",24,"Biotech","Virgo",0
3740485,"female",23,"Law","Taurus",1
3800270,"female",17,"Education","Gemini",1
516574,"male",43,"Technology","Aquarius",0
4093355,"female",16,"indUnk","Capricorn",1
3824718,"female",17,"Student","Gemini",1
3888531,"male",15,"Student","Aquarius",0
3984743,"male",14,"Student","Virgo",0
3609217,"female",17,"indUnk","Pisces",1
3478510,"male",16,"Student","Aries",0
4273874,"male",23,"indUnk","Pisces",0
3922157,"male",15,"Student","Cancer",0
3447484,"male",45,"Communications-Media","Aquarius",0
3759449,"male",25,"Military","Virgo",0
2453143,"male",24,"Non-Profit","Aries",0
4112382,"female",15,"Student","Virgo",1
3558382,"female",40,"indUnk","Aquarius",1
3407822,"female",16,"indUnk","Scorpio",1
2303699,"female",23,"Science","Aquarius",1
3346645,"female",34,"Education","Virgo",1
3483001,"male",16,"Student","Virgo",0
3856295,"female",26,"Non-Profit","Capricorn",1
3339831,"male",27,"Internet","Aquarius",0
735253,"male",35,"indUnk","Scorpio",0
3844323,"female",13,"Student","Capricorn",1
3452948,"female",35,"Arts","Virgo",1
3427636,"female",25,"Student","Libra",1
3491822,"female",34,"Education","Pisces",1
3443201,"female",17,"Student","Gemini",1
3415674,"male",16,"Student","Leo",0
3933932,"female",27,"indUnk","Aries",1
1207422,"female",40,"Law","Gemini",1
4058790,"female",14,"indUnk","Gemini",1
3321400,"male",24,"Student","Libra",0
3670806,"male",14,"Student","Pisces",0
3573440,"female",13,"indUnk","Libra",1
2128756,"male",23,"Education","Libra",0
3659573,"female",16,"Student","Capricorn",1
4262748,"female",23,"indUnk","Leo",1
3805800,"male",36,"indUnk","Aries",0
751740,"male",26,"Communications-Media","Capricorn",0
3428753,"male",33,"Internet","Sagittarius",0
2140839,"female",26,"Marketing","Taurus",1
3709783,"male",24,"Technology","Aquarius",0
1491593,"male",27,"indUnk","Cancer",0
4115314,"male",25,"indUnk","Scorpio",0
3757966,"male",23,"indUnk","Capricorn",0
4230424,"male",13,"indUnk","Libra",0
1645606,"male",27,"Arts","Cancer",0
4283446,"female",36,"indUnk","Pisces",1
4089300,"female",16,"Education","Pisces",1
1391636,"female",26,"Religion","Cancer",1
543124,"female",37,"indUnk","Leo",1
3931171,"female",13,"Student","Virgo",1
4067127,"female",23,"Education","Aquarius",1
3361501,"male",17,"Non-Profit","Aquarius",0
3497158,"male",23,"Construction","Gemini",0
3872236,"male",23,"Technology","Pisces",0
3639084,"male",27,"Banking","Taurus",0
3869771,"female",24,"indUnk","Taurus",1
4029209,"female",17,"Student","Capricorn",1
3700596,"male",43,"Education","Leo",0
4314676,"female",37,"indUnk","Sagittarius",1
3579249,"female",24,"indUnk","Virgo",1
3710725,"female",17,"indUnk","Capricorn",1
3467880,"male",23,"BusinessServices","Cancer",0
2945207,"male",24,"Internet","Libra",0
3290655,"female",36,"indUnk","Cancer",1
3846453,"female",15,"Education","Scorpio",1
4149935,"male",15,"Student","Capricorn",0
4175326,"male",16,"Student","Libra",0
3344945,"female",27,"indUnk","Leo",1
3579923,"female",26,"Education","Gemini",1
4005809,"male",23,"Education","Aquarius",0
3334256,"male",23,"Publishing","Virgo",0
2416268,"female",16,"Student","Libra",1
4220106,"male",26,"Student","Aquarius",0
765488,"male",25,"Communications-Media","Virgo",0
3345427,"male",37,"Student","Leo",0
3899791,"female",24,"Education","Sagittarius",1
3620187,"male",16,"Student","Libra",0
2856323,"male",26,"Technology","Pisces",0
3347922,"female",23,"indUnk","Virgo",1
4053881,"male",23,"Technology","Scorpio",0
4120311,"female",17,"Student","Pisces",1
3711209,"male",24,"Religion","Virgo",0
3156913,"female",47,"Arts","Aquarius",1
2407445,"male",16,"Student","Taurus",0
3784523,"female",15,"Arts","Taurus",1
4053824,"female",26,"Non-Profit","Virgo",1
4282050,"male",24,"Communications-Media","Capricorn",0
3932080,"male",16,"Student","Capricorn",0
3968596,"female",16,"Student","Virgo",1
118791,"male",33,"Internet","Virgo",0
3689752,"female",23,"Accounting","Aries",1
4099748,"female",17,"indUnk","Aries",1
4204219,"female",24,"Education","Pisces",1
584088,"male",33,"Education","Pisces",0
4154110,"female",14,"Student","Scorpio",1
3941752,"male",17,"Chemicals","Scorpio",0
3838711,"male",15,"Student","Scorpio",0
3936749,"female",15,"Student","Leo",1
3474680,"male",36,"Architecture","Aquarius",0
2408870,"male",48,"indUnk","Capricorn",0
3512828,"male",16,"indUnk","Libra",0
3288394,"male",17,"Student","Libra",0
3347345,"female",25,"indUnk","Aquarius",1
3900648,"male",16,"Student","Libra",0
3824003,"male",26,"Automotive","Aries",0
4240316,"female",43,"indUnk","Virgo",1
2693018,"female",14,"indUnk","Aquarius",1
3962861,"male",44,"Arts","Gemini",0
4033887,"male",35,"Communications-Media","Pisces",0
2406561,"female",15,"Education","Leo",1
2981416,"male",17,"Automotive","Pisces",0
3736362,"male",45,"Automotive","Scorpio",0
3673679,"male",23,"Arts","Aries",0
2853467,"female",17,"indUnk","Pisces",1
728365,"female",24,"indUnk","Virgo",1
4280352,"male",24,"Law","Aquarius",0
3897995,"male",23,"indUnk","Pisces",0
3923398,"male",27,"Technology","Aries",0
3336127,"male",13,"indUnk","Capricorn",0
3034268,"male",25,"Education","Scorpio",0
3354959,"male",25,"Student","Sagittarius",0
3652800,"female",23,"Non-Profit","Virgo",1
3496660,"male",36,"Automotive","Virgo",0
3935414,"male",17,"Student","Aquarius",0
1666711,"male",25,"indUnk","Aries",0
3715086,"male",26,"Engineering","Gemini",0
3679805,"female",15,"Student","Virgo",1
1670866,"female",34,"Consulting","Aquarius",1
4216324,"male",44,"Manufacturing","Cancer",0
2835115,"female",16,"indUnk","Sagittarius",1
3997137,"male",27,"Advertising","Aries",0
3540427,"male",27,"LawEnforcement-Security","Gemini",0
3508590,"female",27,"indUnk","Leo",1
3901058,"male",15,"Student","Virgo",0
3599769,"female",23,"Student","Libra",1
3669560,"male",23,"Technology","Capricorn",0
3927019,"male",26,"indUnk","Libra",0
240089,"male",24,"indUnk","Taurus",0
3550592,"female",16,"Student","Pisces",1
211214,"male",37,"Internet","Aquarius",0
4074179,"male",25,"Communications-Media","Leo",0
3421808,"male",17,"indUnk","Aries",0
1025783,"female",17,"Student","Gemini",1
4105362,"male",27,"Arts","Gemini",0
4202722,"male",34,"Advertising","Taurus",0
3557177,"male",23,"Military","Taurus",0
4029602,"female",15,"indUnk","Sagittarius",1
2427971,"male",17,"Education","Aries",0
4022433,"female",25,"indUnk","Sagittarius",1
3925501,"female",16,"Education","Virgo",1
4015803,"male",40,"BusinessServices","Leo",0
4129032,"female",46,"Advertising","Capricorn",1
3099767,"female",27,"HumanResources","Libra",1
3712224,"male",17,"Student","Sagittarius",0
1708471,"female",17,"indUnk","Cancer",1
3562357,"male",34,"Transportation","Leo",0
2009763,"male",23,"Student","Aquarius",0
1646668,"female",16,"Arts","Libra",1
3512702,"female",25,"Student","Cancer",1
4272286,"male",26,"Education","Leo",0
3783122,"male",26,"Student","Cancer",0
3176774,"male",37,"Religion","Aries",0
3371985,"female",16,"Student","Virgo",1
756463,"male",35,"Technology","Scorpio",0
3889003,"male",15,"indUnk","Aquarius",0
3348538,"male",14,"indUnk","Sagittarius",0
673235,"male",37,"Internet","Capricorn",0
4102050,"female",14,"Student","Pisces",1
4272892,"male",17,"Student","Virgo",0
4235154,"female",16,"Student","Cancer",1
3482033,"female",36,"Education","Libra",1
2436646,"female",24,"Publishing","Gemini",1
3311898,"male",17,"Technology","Leo",0
4279972,"male",38,"Banking","Virgo",0
3344991,"male",25,"Communications-Media","Scorpio",0
4060123,"male",34,"Education","Virgo",0
4039315,"female",34,"indUnk","Cancer",1
3011326,"male",23,"Maritime","Taurus",0
1039136,"male",24,"Student","Capricorn",0
3855724,"female",34,"Education","Cancer",1
2872565,"male",25,"Education","Leo",0
3803417,"female",24,"Chemicals","Capricorn",1
3292285,"male",36,"Tourism","Aquarius",0
3675630,"female",24,"indUnk","Gemini",1
3475886,"male",23,"indUnk","Pisces",0
3452141,"female",14,"indUnk","Libra",1
4235382,"female",24,"Student","Cancer",1
3984362,"female",25,"indUnk","Scorpio",1
4125187,"male",26,"BusinessServices","Cancer",0
3491668,"male",40,"indUnk","Capricorn",0
4128174,"female",15,"indUnk","Aquarius",1
4307214,"male",17,"Student","Cancer",0
1223044,"male",16,"indUnk","Sagittarius",0
3251136,"male",15,"Technology","Libra",0
1759489,"male",25,"Technology","Cancer",0
3665455,"male",39,"Science","Cancer",0
4132834,"male",27,"Internet","Virgo",0
4187546,"female",34,"Communications-Media","Scorpio",1
4008161,"female",17,"indUnk","Taurus",1
3938045,"female",23,"RealEstate","Gemini",1
2314011,"female",23,"Student","Capricorn",1
4252992,"female",17,"Student","Capricorn",1
2539507,"female",23,"Student","Sagittarius",1
2870823,"female",16,"indUnk","Capricorn",1
4147269,"male",25,"Environment","Libra",0
3947477,"female",34,"indUnk","Pisces",1
3700604,"female",23,"Transportation","Aries",1
3792515,"male",23,"Student","Pisces",0
3604179,"male",17,"Student","Virgo",0
3695814,"male",23,"Chemicals","Leo",0
4164104,"female",17,"Student","Pisces",1
3370699,"male",25,"Government","Taurus",0
3572041,"female",15,"indUnk","Taurus",1
3845636,"female",17,"Student","Cancer",1
3831186,"male",23,"Law","Capricorn",0
2505535,"male",15,"Student","Libra",0
4042770,"male",24,"indUnk","Aries",0
4266752,"male",15,"Student","Pisces",0
3886174,"female",17,"indUnk","Libra",1
3581862,"female",24,"indUnk","Scorpio",1
3170429,"male",27,"indUnk","Gemini",0
3490899,"male",15,"indUnk","Scorpio",0
3937456,"male",16,"Student","Aquarius",0
4303769,"female",16,"indUnk","Cancer",1
3547509,"female",35,"indUnk","Scorpio",1
4208357,"female",24,"Arts","Pisces",1
4289870,"female",14,"indUnk","Gemini",1
3840067,"male",17,"Student","Gemini",0
3791395,"male",16,"Student","Aries",0
3308024,"female",24,"indUnk","Pisces",1
1304830,"female",14,"Education","Libra",1
3668200,"female",24,"indUnk","Taurus",1
3735877,"female",15,"indUnk","Aquarius",1
3734462,"female",23,"Arts","Aries",1
3487773,"female",24,"indUnk","Gemini",1
