"personage","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
2854177,"male",25,"indUnk","Capricorn",0
3373026,"female",25,"indUnk","Taurus",1
228004,"male",25,"indUnk","Virgo",0
1341988,"female",24,"Marketing","Cancer",1
3355583,"female",26,"Architecture","Cancer",1
3375748,"female",24,"Student","Pisces",1
3947284,"male",17,"indUnk","Scorpio",0
3511707,"male",14,"Student","Taurus",0
3226138,"female",34,"indUnk","Sagittarius",1
3294597,"male",24,"indUnk","Aquarius",0
3039274,"male",26,"indUnk","Virgo",0
754701,"male",26,"Advertising","Aries",0
3895121,"male",26,"Internet","Aries",0
3053482,"male",23,"Chemicals","Leo",0
3692477,"male",25,"Internet","Scorpio",0
3531203,"male",25,"indUnk","Pisces",0
3854961,"male",25,"Government","Virgo",0
3833194,"female",34,"Internet","Gemini",1
3904727,"female",42,"Accounting","Aquarius",1
4256399,"male",42,"Construction","Gemini",0
2319066,"male",17,"Student","Virgo",0
702465,"female",25,"indUnk","Leo",1
3444841,"female",23,"indUnk","Aquarius",1
3668919,"female",26,"Student","Leo",1
3621553,"male",17,"Education","Capricorn",0
4101510,"female",15,"indUnk","Pisces",1
3711347,"female",17,"Student","Aries",1
3713271,"female",15,"indUnk","Leo",1
4177027,"male",24,"Automotive","Pisces",0
3438977,"female",38,"indUnk","Capricorn",1
3581115,"female",24,"indUnk","Pisces",1
2552845,"male",15,"Technology","Libra",0
3669682,"male",24,"Student","Taurus",0
3929056,"female",25,"indUnk","Aries",1
2840286,"female",23,"Communications-Media","Aquarius",1
1325536,"female",16,"Student","Virgo",1
3463074,"male",13,"Student","Scorpio",0
3769337,"male",16,"BusinessServices","Leo",0
4297657,"male",23,"indUnk","Leo",0
3754924,"male",23,"indUnk","Gemini",0
4290848,"female",24,"indUnk","Pisces",1
3311441,"male",16,"Student","Aquarius",0
3838413,"female",23,"indUnk","Aquarius",1
3214154,"male",27,"Internet","Capricorn",0
2992523,"female",17,"indUnk","Gemini",1
3606039,"male",26,"Telecommunications","Taurus",0
4141328,"female",24,"indUnk","Cancer",1
3709365,"female",27,"indUnk","Aquarius",1
1880598,"male",40,"Technology","Capricorn",0
2134154,"male",16,"Arts","Taurus",0
3825057,"female",14,"indUnk","Pisces",1
3850185,"male",15,"Student","Scorpio",0
4108175,"female",26,"Education","Virgo",1
2049668,"female",25,"indUnk","Capricorn",1
2862307,"male",17,"indUnk","Aries",0
4294854,"female",15,"Student","Virgo",1
3642778,"male",16,"Student","Aquarius",0
1335883,"male",27,"Arts","Libra",0
2944841,"male",15,"indUnk","Leo",0
3594277,"female",15,"Student","Pisces",1
3476842,"male",24,"Architecture","Capricorn",0
4067843,"male",23,"Student","Aries",0
4255356,"female",37,"Marketing","Scorpio",1
999503,"male",25,"Internet","Cancer",0
3644623,"male",35,"Government","Aquarius",0
1407268,"male",23,"indUnk","Taurus",0
4204411,"female",15,"indUnk","Aquarius",1
3117208,"male",25,"indUnk","Gemini",0
4252852,"female",26,"indUnk","Taurus",1
3190106,"male",34,"Internet","Virgo",0
3871936,"female",14,"Student","Libra",1
3896970,"male",43,"Education","Virgo",0
4329651,"female",33,"Education","Gemini",1
4053312,"female",33,"Architecture","Taurus",1
3380200,"male",34,"Non-Profit","Sagittarius",0
3752378,"female",26,"indUnk","Scorpio",1
4217444,"female",27,"Telecommunications","Gemini",1
3866344,"male",16,"indUnk","Scorpio",0
2899838,"female",17,"Student","Cancer",1
4219350,"female",16,"Student","Cancer",1
2931298,"female",25,"Manufacturing","Gemini",1
3497011,"female",14,"Student","Pisces",1
4238907,"male",14,"indUnk","Leo",0
3829920,"male",23,"Science","Cancer",0
420325,"male",45,"indUnk","Taurus",0
4227061,"female",13,"indUnk","Libra",1
3836043,"female",17,"Student","Leo",1
3670070,"female",17,"Student","Sagittarius",1
4291825,"male",14,"Student","Sagittarius",0
3085370,"female",17,"Arts","Libra",1
3845636,"female",17,"Student","Cancer",1
3717525,"male",14,"Student","Taurus",0
3395340,"male",27,"indUnk","Virgo",0
3732159,"male",27,"indUnk","Sagittarius",0
4077130,"female",24,"Engineering","Libra",1
4222816,"female",15,"Student","Gemini",1
4161453,"female",42,"indUnk","Aquarius",1
3403998,"female",26,"Banking","Taurus",1
3484215,"male",23,"Technology","Pisces",0
3948911,"male",15,"Student","Gemini",0
3072844,"female",14,"Education","Libra",1
3019516,"male",25,"indUnk","Cancer",0
3315304,"male",17,"Student","Gemini",0
3732981,"male",14,"indUnk","Leo",0
3428947,"male",37,"indUnk","Capricorn",0
3344485,"male",25,"indUnk","Capricorn",0
3392709,"female",44,"Technology","Aries",1
3731443,"female",16,"Arts","Pisces",1
3832197,"female",45,"Education","Sagittarius",1
3427320,"male",23,"Education","Aquarius",0
4204017,"female",14,"Student","Aquarius",1
601845,"female",34,"Consulting","Scorpio",1
3361530,"female",36,"indUnk","Virgo",1
3368521,"female",15,"indUnk","Gemini",1
4052088,"female",25,"Architecture","Libra",1
3449831,"male",24,"indUnk","Libra",0
3537683,"female",25,"indUnk","Virgo",1
3492445,"male",39,"indUnk","Leo",0
4260303,"female",25,"indUnk","Taurus",1
3827331,"male",23,"indUnk","Cancer",0
3803105,"male",34,"Internet","Capricorn",0
3324914,"male",16,"Student","Virgo",0
3878670,"male",34,"indUnk","Taurus",0
3696093,"female",15,"indUnk","Taurus",1
3306386,"male",45,"indUnk","Scorpio",0
3735480,"male",16,"Engineering","Gemini",0
3794819,"male",16,"indUnk","Pisces",0
4112510,"female",17,"Education","Aries",1
4152245,"female",15,"indUnk","Taurus",1
3012369,"male",14,"indUnk","Cancer",0
3306195,"male",33,"indUnk","Leo",0
3877081,"female",23,"indUnk","Aries",1
3303998,"male",17,"Student","Scorpio",0
3764406,"male",13,"indUnk","Taurus",0
4286858,"female",25,"indUnk","Pisces",1
3711979,"female",25,"indUnk","Pisces",1
4275283,"female",23,"Education","Leo",1
3809970,"male",26,"Communications-Media","Aries",0
3888192,"male",16,"indUnk","Virgo",0
3742562,"female",16,"Student","Capricorn",1
3847377,"male",16,"Publishing","Aquarius",0
3962512,"male",16,"Student","Pisces",0
2453793,"female",23,"Education","Aries",1
3553466,"female",25,"indUnk","Scorpio",1
4100092,"male",45,"Student","Cancer",0
3248078,"male",14,"Internet","Gemini",0
4302300,"female",26,"Non-Profit","Virgo",1
4322358,"female",25,"Automotive","Libra",1
3309489,"female",24,"indUnk","Aquarius",1
3866851,"female",15,"indUnk","Cancer",1
3514661,"female",16,"indUnk","Taurus",1
3839753,"male",23,"indUnk","Capricorn",0
4174346,"female",33,"indUnk","Taurus",1
3614450,"male",43,"Non-Profit","Aries",0
3905544,"male",25,"Communications-Media","Leo",0
3553662,"female",35,"indUnk","Pisces",1
3477041,"male",17,"indUnk","Aquarius",0
3718622,"female",14,"indUnk","Pisces",1
3370628,"female",16,"Student","Leo",1
3611358,"female",34,"Non-Profit","Leo",1
3961062,"male",23,"Student","Gemini",0
2012053,"female",15,"Student","Pisces",1
4030660,"female",25,"Science","Scorpio",1
566970,"male",27,"indUnk","Libra",0
3416026,"female",26,"Student","Libra",1
3509247,"male",17,"Student","Scorpio",0
4204026,"male",27,"Education","Scorpio",0
3401372,"male",16,"Student","Leo",0
3923678,"female",17,"Student","Sagittarius",1
3974838,"female",13,"Student","Virgo",1
4296936,"female",26,"Non-Profit","Virgo",1
4163039,"female",16,"Automotive","Sagittarius",1
3092694,"male",25,"Technology","Leo",0
4333477,"male",27,"Technology","Cancer",0
3831237,"female",34,"Law","Libra",1
3483362,"male",16,"Student","Taurus",0
3444022,"male",41,"Technology","Scorpio",0
3320360,"male",27,"Arts","Capricorn",0
2869734,"male",23,"Communications-Media","Scorpio",0
3921324,"male",25,"indUnk","Pisces",0
3466221,"male",26,"Student","Leo",0
4225157,"female",16,"Technology","Taurus",1
3378253,"male",24,"indUnk","Libra",0
3753823,"female",23,"indUnk","Leo",1
3972364,"female",23,"Education","Aquarius",1
4119051,"male",26,"Marketing","Gemini",0
4193340,"female",16,"indUnk","Cancer",1
3390145,"female",16,"Student","Taurus",1
3983904,"female",23,"Law","Taurus",1
2995161,"male",26,"indUnk","Leo",0
4039894,"female",23,"Marketing","Capricorn",1
2663008,"male",24,"Non-Profit","Cancer",0
3384726,"male",17,"indUnk","Aquarius",0
3472026,"male",15,"Student","Sagittarius",0
3593684,"female",23,"Student","Virgo",1
3609323,"male",14,"Arts","Sagittarius",0
3939608,"male",16,"Student","Taurus",0
3981322,"male",14,"Student","Virgo",0
4111255,"female",17,"Fashion","Aquarius",1
3753470,"male",15,"Student","Pisces",0
3656480,"male",17,"indUnk","Leo",0
3174982,"female",26,"Arts","Aries",1
4110417,"female",40,"Education","Aries",1
3580770,"female",15,"Student","Pisces",1
1446030,"female",17,"Student","Aquarius",1
4149873,"male",17,"indUnk","Taurus",0
3645055,"female",14,"Education","Aquarius",1
4180531,"male",23,"indUnk","Taurus",0
3708234,"female",25,"indUnk","Virgo",1
4101122,"female",17,"indUnk","Capricorn",1
4051987,"male",24,"Student","Sagittarius",0
3060073,"male",27,"Architecture","Aquarius",0
1877260,"male",23,"Student","Aquarius",0
3563331,"female",17,"indUnk","Aries",1
4226483,"male",17,"indUnk","Pisces",0
2383328,"male",26,"indUnk","Virgo",0
3911034,"male",26,"Technology","Leo",0
4241730,"male",16,"indUnk","Gemini",0
1894533,"male",24,"BusinessServices","Libra",0
4301541,"female",17,"indUnk","Virgo",1
3313054,"male",33,"Manufacturing","Sagittarius",0
3359666,"female",45,"Non-Profit","Scorpio",1
4067399,"female",23,"indUnk","Leo",1
1695621,"female",26,"indUnk","Virgo",1
4004415,"female",27,"Law","Aries",1
3976083,"female",27,"Sports-Recreation","Sagittarius",1
3378072,"male",27,"Arts","Gemini",0
1818261,"female",14,"Student","Virgo",1
3723497,"female",14,"Student","Capricorn",1
4176084,"female",14,"Student","Capricorn",1
3967340,"female",17,"Student","Sagittarius",1
4015552,"male",16,"indUnk","Capricorn",0
3516460,"female",35,"Accounting","Cancer",1
3423963,"male",37,"Manufacturing","Virgo",0
913315,"male",25,"Communications-Media","Aquarius",0
3510563,"female",27,"indUnk","Sagittarius",1
1579923,"male",15,"indUnk","Virgo",0
4235954,"female",39,"indUnk","Capricorn",1
2998136,"male",17,"Student","Scorpio",0
3744749,"male",17,"Student","Aquarius",0
3805349,"male",14,"Student","Virgo",0
1231733,"female",24,"Communications-Media","Cancer",1
4267143,"female",24,"Military","Sagittarius",1
4137869,"female",23,"Education","Gemini",1
4033887,"male",35,"Communications-Media","Pisces",0
3611552,"male",16,"Student","Scorpio",0
3983577,"male",24,"Science","Libra",0
2746168,"female",16,"Student","Aquarius",1
4336267,"male",27,"Student","Aries",0
4006879,"female",17,"indUnk","Libra",1
3626700,"female",15,"Student","Libra",1
2981416,"male",17,"Automotive","Pisces",0
4201848,"male",45,"HumanResources","Aquarius",0
1756707,"female",24,"Student","Cancer",1
851693,"female",15,"Student","Aquarius",1
3749122,"female",14,"Student","Sagittarius",1
3858296,"male",16,"Construction","Aries",0
3476464,"male",24,"Arts","Cancer",0
2964073,"male",16,"Student","Taurus",0
3735034,"female",14,"indUnk","Taurus",1
3508871,"female",23,"Student","Aquarius",1
1365875,"female",27,"indUnk","Gemini",1
3710725,"female",17,"indUnk","Capricorn",1
3423212,"female",25,"indUnk","Pisces",1
3541543,"male",16,"Student","Libra",0
3466199,"male",25,"indUnk","Leo",0
3300396,"female",24,"indUnk","Libra",1
4294640,"male",15,"indUnk","Taurus",0
4029385,"male",25,"Internet","Leo",0
3693889,"female",27,"Non-Profit","Leo",1
3349029,"female",36,"Arts","Aries",1
4118838,"male",33,"indUnk","Taurus",0
4220994,"female",25,"indUnk","Virgo",1
3433402,"female",16,"indUnk","Aries",1
4074068,"male",27,"Government","Virgo",0
3539470,"female",36,"indUnk","Virgo",1
3580624,"male",37,"Technology","Virgo",0
4231706,"female",24,"Technology","Aquarius",1
3377005,"male",26,"indUnk","Sagittarius",0
4242995,"female",16,"indUnk","Leo",1
3409695,"male",23,"Student","Gemini",0
3828486,"female",24,"indUnk","Libra",1
4300554,"female",17,"Student","Scorpio",1
3498605,"male",15,"Student","Leo",0
3826133,"female",24,"Education","Sagittarius",1
3941254,"female",27,"Education","Aries",1
3416481,"female",17,"Arts","Capricorn",1
3356084,"male",13,"indUnk","Aquarius",0
1258907,"female",15,"Student","Taurus",1
3454243,"female",33,"Arts","Cancer",1
2949127,"male",24,"Government","Aquarius",0
3392349,"male",16,"indUnk","Cancer",0
78196,"female",35,"indUnk","Aries",1
734023,"female",14,"Student","Cancer",1
3711623,"female",27,"Law","Sagittarius",1
4139711,"male",27,"Student","Aquarius",0
3403444,"female",14,"indUnk","Taurus",1
4161215,"female",13,"Student","Virgo",1
3762871,"female",15,"indUnk","Leo",1
3658320,"female",15,"Student","Taurus",1
3486652,"male",24,"Technology","Aquarius",0
2543400,"male",17,"Student","Capricorn",0
3342992,"male",15,"Student","Virgo",0
3624051,"male",25,"indUnk","Libra",0
3737807,"female",17,"indUnk","Virgo",1
4256934,"female",13,"Student","Leo",1
3446810,"female",17,"Communications-Media","Scorpio",1
3640328,"female",45,"Arts","Scorpio",1
3900797,"male",15,"Religion","Libra",0
3312354,"male",27,"Student","Libra",0
3702150,"male",27,"Accounting","Gemini",0
4143737,"female",14,"Student","Capricorn",1
3974302,"male",15,"Student","Scorpio",0
3511199,"male",23,"Internet","Pisces",0
3530568,"male",17,"Student","Aquarius",0
3473874,"female",24,"Transportation","Libra",1
3906690,"male",23,"Technology","Leo",0
2038371,"male",36,"Fashion","Gemini",0
1156278,"male",37,"Internet","Taurus",0
3983261,"female",15,"Sports-Recreation","Aries",1
3599758,"male",24,"Non-Profit","Aries",0
2822042,"female",47,"Arts","Taurus",1
3819242,"female",25,"Education","Capricorn",1
4173841,"female",43,"indUnk","Gemini",1
3460990,"female",27,"Education","Aquarius",1
4212907,"male",23,"Arts","Cancer",0
3724080,"male",14,"Student","Scorpio",0
3895428,"male",23,"indUnk","Aquarius",0
4301799,"female",23,"Education","Aries",1
801180,"male",36,"Technology","Pisces",0
3923832,"female",35,"indUnk","Taurus",1
4014085,"female",23,"Student","Sagittarius",1
3093831,"female",35,"indUnk","Taurus",1
3806681,"male",24,"Telecommunications","Sagittarius",0
3158527,"female",15,"indUnk","Taurus",1
3500899,"male",13,"Student","Virgo",0
2871837,"male",26,"indUnk","Scorpio",0
3418730,"male",17,"indUnk","Pisces",0
3818126,"female",25,"Education","Virgo",1
3333905,"male",46,"indUnk","Cancer",0
3616582,"male",24,"Communications-Media","Aries",0
4141228,"female",17,"indUnk","Taurus",1
4194617,"female",47,"Education","Cancer",1
3651769,"male",23,"Transportation","Libra",0
3520152,"male",16,"Student","Scorpio",0
3124065,"male",24,"indUnk","Sagittarius",0
3983696,"male",25,"Religion","Scorpio",0
2608455,"female",24,"indUnk","Aries",1
3843387,"female",25,"Communications-Media","Capricorn",1
3480066,"male",24,"indUnk","Aries",0
4177816,"male",36,"Internet","Virgo",0
1400059,"male",23,"Education","Pisces",0
4284055,"male",27,"indUnk","Aquarius",0
3918538,"female",13,"indUnk","Cancer",1
3037386,"male",37,"Manufacturing","Taurus",0
3566811,"female",27,"Student","Gemini",1
3097076,"male",27,"indUnk","Sagittarius",0
2190377,"female",16,"Student","Gemini",1
4056685,"female",39,"Transportation","Libra",1
3808547,"female",42,"Tourism","Libra",1
4268277,"female",14,"indUnk","Leo",1
3450423,"female",17,"Student","Gemini",1
4027929,"male",17,"Arts","Gemini",0
3560362,"male",16,"indUnk","Aquarius",0
3968693,"female",13,"Student","Virgo",1
3350389,"female",23,"Non-Profit","Libra",1
3971078,"male",17,"Student","Capricorn",0
3396004,"male",25,"Engineering","Cancer",0
2834611,"female",24,"Advertising","Cancer",1
3824121,"female",15,"Student","Virgo",1
4256858,"male",25,"indUnk","Taurus",0
3525827,"male",16,"indUnk","Aries",0
3387627,"male",26,"Technology","Sagittarius",0
4263029,"female",35,"indUnk","Taurus",1
3586361,"male",25,"Manufacturing","Gemini",0
3373468,"female",17,"Student","Leo",1
3340888,"male",27,"indUnk","Libra",0
3355324,"female",16,"indUnk","Scorpio",1
3186824,"male",25,"indUnk","Aquarius",0
4303559,"female",16,"indUnk","Taurus",1
3599634,"female",14,"Student","Libra",1
3391252,"male",23,"Marketing","Scorpio",0
568146,"male",24,"indUnk","Libra",0
3869207,"male",17,"Technology","Aries",0
3591822,"female",16,"Student","Cancer",1
3178061,"male",26,"Automotive","Sagittarius",0
3501128,"female",14,"Arts","Gemini",1
4142265,"male",23,"Tourism","Taurus",0
3341249,"male",43,"indUnk","Cancer",0
3562986,"male",23,"indUnk","Cancer",0
3419884,"female",24,"indUnk","Taurus",1
4147164,"female",33,"indUnk","Pisces",1
3560795,"female",13,"indUnk","Pisces",1
3291131,"male",25,"indUnk","Taurus",0
4276062,"male",26,"Advertising","Virgo",0
1087356,"female",23,"indUnk","Virgo",1
3889807,"female",24,"indUnk","Aquarius",1
4042429,"male",35,"indUnk","Gemini",0
3886025,"male",25,"indUnk","Pisces",0
1959126,"male",27,"Internet","Capricorn",0
4226887,"female",15,"Student","Pisces",1
3397935,"female",27,"indUnk","Aries",1
3313968,"male",16,"indUnk","Cancer",0
3577418,"male",27,"Arts","Virgo",0
3870614,"male",16,"Chemicals","Scorpio",0
3370305,"female",26,"indUnk","Pisces",1
4300465,"male",24,"Internet","Libra",0
3169714,"female",16,"Student","Libra",1
1538355,"female",15,"indUnk","Aquarius",1
3313830,"male",48,"indUnk","Virgo",0
3548452,"female",23,"Student","Aries",1
3558845,"female",26,"indUnk","Pisces",1
4323690,"female",27,"Student","Libra",1
4065478,"female",25,"indUnk","Taurus",1
4314398,"female",16,"indUnk","Aries",1
4238771,"female",16,"Student","Taurus",1
3575321,"female",27,"indUnk","Cancer",1
3732255,"female",25,"Technology","Taurus",1
3482668,"male",15,"indUnk","Libra",0
2109397,"male",15,"Student","Libra",0
3916081,"male",24,"indUnk","Aries",0
3816474,"male",35,"Marketing","Aries",0
4089504,"male",13,"indUnk","Cancer",0
3668618,"male",16,"indUnk","Gemini",0
3510682,"male",23,"indUnk","Scorpio",0
3992059,"female",24,"Student","Leo",1
3427361,"female",26,"indUnk","Cancer",1
662223,"female",25,"indUnk","Virgo",1
3828187,"male",17,"indUnk","Aries",0
4005627,"male",27,"Advertising","Leo",0
1526231,"female",24,"indUnk","Scorpio",1
2402419,"female",25,"Consulting","Cancer",1
4060465,"female",24,"Engineering","Capricorn",1
3236721,"male",15,"Science","Pisces",0
3360382,"female",24,"Student","Leo",1
4091801,"female",17,"Arts","Capricorn",1
3976205,"male",23,"Engineering","Aquarius",0
3753306,"female",25,"indUnk","Libra",1
4253269,"male",24,"indUnk","Aquarius",0
3580656,"female",24,"indUnk","Pisces",1
3333187,"male",26,"Technology","Leo",0
3531571,"female",24,"Accounting","Libra",1
2012853,"female",23,"indUnk","Libra",1
4152489,"male",23,"Government","Cancer",0
3575188,"female",15,"Student","Taurus",1
4059627,"male",37,"Technology","Cancer",0
3981596,"female",13,"indUnk","Libra",1
3889861,"female",34,"BusinessServices","Sagittarius",1
3593652,"male",15,"Technology","Capricorn",0
1591994,"male",15,"indUnk","Cancer",0
3819476,"male",16,"LawEnforcement-Security","Pisces",0
3479668,"female",37,"indUnk","Aquarius",1
3238069,"male",35,"Communications-Media","Gemini",0
3779603,"female",13,"indUnk","Libra",1
3431736,"female",27,"indUnk","Capricorn",1
3564541,"male",16,"Student","Gemini",0
4218773,"female",23,"Student","Taurus",1
3402720,"male",40,"indUnk","Leo",0
3717827,"male",27,"Education","Cancer",0
3086535,"male",16,"Student","Capricorn",0
3655275,"female",33,"Science","Sagittarius",1
3603350,"male",13,"indUnk","Capricorn",0
2929309,"male",23,"Student","Pisces",0
1119280,"female",27,"indUnk","Gemini",1
3795215,"female",17,"Student","Gemini",1
853190,"female",35,"Law","Pisces",1
3895491,"female",40,"Banking","Libra",1
4071691,"male",27,"Communications-Media","Capricorn",0
3436752,"male",15,"indUnk","Aries",0
4284985,"female",45,"indUnk","Virgo",1
4120668,"female",16,"Student","Scorpio",1
705868,"male",25,"Internet","Aquarius",0
3460493,"male",23,"Technology","Scorpio",0
3337772,"male",23,"Student","Gemini",0
3188427,"male",25,"indUnk","Aries",0
4207288,"male",15,"Student","Scorpio",0
3624245,"male",24,"Accounting","Leo",0
3792732,"female",26,"indUnk","Leo",1
3474680,"male",36,"Architecture","Aquarius",0
1225020,"female",16,"HumanResources","Scorpio",1
3746637,"female",23,"indUnk","Cancer",1
3766675,"male",16,"Student","Cancer",0
3289375,"female",17,"Student","Virgo",1
4198959,"female",17,"Student","Gemini",1
155710,"male",23,"indUnk","Cancer",0
1428697,"male",33,"indUnk","Virgo",0
813360,"female",23,"BusinessServices","Capricorn",1
4213470,"male",13,"Student","Libra",0
3919212,"male",27,"Non-Profit","Taurus",0
3944784,"male",23,"indUnk","Virgo",0
1795821,"female",23,"RealEstate","Cancer",1
3689499,"male",16,"Student","Sagittarius",0
2972931,"male",15,"indUnk","Leo",0
3969318,"female",13,"Student","Capricorn",1
4323910,"female",23,"Education","Libra",1
3312827,"female",25,"Education","Cancer",1
3898660,"female",17,"Student","Gemini",1
511641,"male",39,"Telecommunications","Aries",0
3909472,"male",23,"indUnk","Pisces",0
3602089,"male",15,"Student","Libra",0
3894623,"male",34,"Education","Libra",0
3938293,"female",24,"Marketing","Capricorn",1
3130725,"male",16,"Religion","Cancer",0
4174400,"female",26,"indUnk","Capricorn",1
3590217,"male",35,"Technology","Scorpio",0
3588411,"female",16,"Student","Scorpio",1
3473302,"female",26,"indUnk","Gemini",1
2705472,"male",17,"Student","Scorpio",0
317450,"female",25,"indUnk","Taurus",1
3377385,"female",23,"indUnk","Scorpio",1
3377986,"female",14,"indUnk","Libra",1
4238019,"male",15,"Student","Aries",0
1131517,"female",17,"indUnk","Gemini",1
3573350,"female",25,"Communications-Media","Libra",1
3355465,"female",16,"indUnk","Leo",1
4121917,"female",15,"Student","Aries",1
3931972,"male",42,"Construction","Libra",0
3834464,"female",16,"indUnk","Taurus",1
3344835,"male",15,"indUnk","Virgo",0
3920387,"male",25,"Architecture","Aquarius",0
1921703,"male",15,"indUnk","Virgo",0
4051505,"female",14,"Education","Gemini",1
508128,"male",27,"Consulting","Pisces",0
3185684,"female",17,"Arts","Leo",1
3801738,"male",37,"Military","Gemini",0
3418497,"male",27,"Communications-Media","Sagittarius",0
4156073,"male",23,"InvestmentBanking","Cancer",0
3895368,"male",23,"Law","Capricorn",0
1697732,"male",36,"Advertising","Aries",0
2621121,"female",26,"Publishing","Aries",1
2191528,"female",14,"Arts","Cancer",1
3900140,"female",23,"indUnk","Sagittarius",1
3597680,"female",25,"indUnk","Leo",1
3690864,"male",14,"indUnk","Aquarius",0
3083685,"male",24,"indUnk","Taurus",0
3331848,"male",25,"Science","Leo",0
4141585,"female",23,"indUnk","Gemini",1
490262,"female",34,"Education","Pisces",1
4315679,"female",26,"indUnk","Cancer",1
2972846,"female",17,"Student","Sagittarius",1
3791124,"male",17,"Student","Taurus",0
3492238,"female",17,"Student","Aries",1
4152028,"female",16,"indUnk","Pisces",1
3661878,"female",25,"Education","Taurus",1
3374463,"male",34,"Technology","Aquarius",0
4083066,"male",17,"Student","Taurus",0
3551239,"male",41,"Technology","Taurus",0
3466316,"female",16,"Student","Sagittarius",1
3488128,"male",15,"Technology","Aries",0
3775921,"male",40,"Telecommunications","Aries",0
3957299,"male",15,"Student","Aquarius",0
3329979,"male",26,"Technology","Leo",0
4292451,"female",13,"indUnk","Virgo",1
3782939,"female",13,"Student","Capricorn",1
3698036,"female",15,"Education","Libra",1
3934378,"male",25,"Law","Capricorn",0
3432220,"male",25,"indUnk","Leo",0
3641696,"female",27,"indUnk","Sagittarius",1
3353850,"female",16,"indUnk","Cancer",1
1112526,"female",24,"indUnk","Sagittarius",1
3700914,"male",24,"indUnk","Cancer",0
3328962,"female",25,"indUnk","Taurus",1
1171545,"female",17,"Non-Profit","Cancer",1
3630901,"male",34,"Technology","Leo",0
1845692,"male",14,"indUnk","Leo",0
3408140,"male",23,"Arts","Gemini",0
4109418,"male",17,"Student","Virgo",0
3559752,"male",27,"BusinessServices","Gemini",0
3931735,"female",23,"Accounting","Scorpio",1
3810138,"male",15,"indUnk","Aries",0
3771036,"male",14,"Education","Aquarius",0
1386800,"female",45,"Non-Profit","Pisces",1
3808556,"male",39,"indUnk","Virgo",0
3344629,"female",34,"Non-Profit","Pisces",1
3900217,"female",24,"indUnk","Pisces",1
4120591,"male",25,"indUnk","Cancer",0
1568659,"male",33,"Internet","Scorpio",0
3627490,"female",16,"indUnk","Gemini",1
4329950,"female",33,"indUnk","Taurus",1
750267,"male",35,"Technology","Cancer",0
3889319,"male",25,"Technology","Sagittarius",0
1149009,"male",25,"Technology","Gemini",0
4244108,"male",23,"Fashion","Leo",0
554936,"male",34,"indUnk","Aries",0
4225093,"female",35,"Arts","Pisces",1
3671946,"female",24,"Non-Profit","Aries",1
824204,"female",23,"Student","Taurus",1
3805867,"male",35,"indUnk","Pisces",0
3474486,"female",16,"indUnk","Sagittarius",1
4000590,"female",17,"BusinessServices","Gemini",1
3520924,"male",37,"HumanResources","Sagittarius",0
4285535,"male",16,"Arts","Sagittarius",0
4193797,"male",44,"Engineering","Cancer",0
1748260,"female",16,"Student","Libra",1
3581900,"female",17,"Student","Aries",1
3515616,"male",16,"Sports-Recreation","Sagittarius",0
3752768,"female",16,"Student","Pisces",1
3076775,"female",16,"Student","Scorpio",1
3552185,"male",36,"Arts","Leo",0
3987409,"female",24,"indUnk","Taurus",1
4056015,"female",41,"indUnk","Pisces",1
2397622,"male",26,"Tourism","Aquarius",0
3563820,"female",27,"Student","Aquarius",1
2713323,"male",16,"Student","Cancer",0
207307,"male",36,"indUnk","Cancer",0
3081699,"male",25,"Communications-Media","Sagittarius",0
3372051,"female",13,"Student","Virgo",1
3758757,"male",14,"Student","Scorpio",0
4045474,"male",16,"Education","Leo",0
3701439,"female",13,"indUnk","Libra",1
3973720,"male",15,"Student","Aquarius",0
3322647,"female",24,"Architecture","Sagittarius",1
3526084,"male",13,"indUnk","Capricorn",0
3738280,"female",27,"indUnk","Libra",1
4196018,"female",27,"Arts","Sagittarius",1
3892230,"male",27,"Religion","Aquarius",0
3672765,"male",13,"indUnk","Capricorn",0
3577526,"male",24,"Engineering","Leo",0
2301338,"male",27,"Engineering","Virgo",0
4019474,"female",24,"Non-Profit","Libra",1
3603674,"male",17,"Arts","Gemini",0
3393842,"male",25,"Technology","Virgo",0
1950549,"male",35,"Consulting","Leo",0
3743920,"male",26,"indUnk","Capricorn",0
3914548,"male",23,"Arts","Taurus",0
799760,"male",26,"indUnk","Cancer",0
1155573,"male",23,"indUnk","Leo",0
3769046,"female",15,"Student","Aries",1
4060712,"male",26,"Internet","Capricorn",0
3992797,"male",13,"Student","Scorpio",0
4259704,"female",26,"indUnk","Cancer",1
4218903,"female",17,"indUnk","Scorpio",1
2021701,"male",17,"Engineering","Libra",0
3803995,"female",13,"indUnk","Scorpio",1
1695144,"male",24,"Non-Profit","Sagittarius",0
3428998,"female",17,"indUnk","Gemini",1
1084944,"female",26,"Arts","Leo",1
3446654,"male",25,"Telecommunications","Cancer",0
3313462,"female",24,"Law","Libra",1
3355030,"female",26,"Sports-Recreation","Taurus",1
3931664,"female",16,"indUnk","Aries",1
3554068,"female",26,"Consulting","Scorpio",1
2650099,"female",14,"indUnk","Leo",1
2346844,"male",14,"Arts","Cancer",0
2856529,"male",24,"Student","Gemini",0
3441102,"male",15,"Student","Libra",0
3323895,"male",16,"Sports-Recreation","Aries",0
1266795,"female",16,"Student","Taurus",1
3857049,"female",23,"indUnk","Leo",1
